run_id,wandb_run_name,state,D,seed,beta,mult,heldout_ll,eval_ll,final_step,heldout_backfilled
mult-d-grid-20260718-151409-18ca943f,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n99subj,finished,99,0,0.0003,2,0.7165125608444214,0.7250527739524841,107560,False
mult-d-grid-20260718-151409-a055788c,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n99subj,finished,99,0,0.001,2,0.7181411981582642,0.721219003200531,107560,False
mult-d-grid-20260718-151409-4896b6c5,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n99subj,finished,99,0,0.0003,5,0.7151069641113281,0.7242855429649353,107559,False
mult-d-grid-20260718-151409-e6dbeefd,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n99subj,finished,99,0,0.001,5,0.7153434753417969,0.7214062809944153,107559,False
mult-d-grid-20260718-151409-2cdbe62b,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n99subj,finished,99,0,0.0003,10,0.7149876356124878,0.7241339087486267,107559,False
mult-d-grid-20260718-151409-fa5b6d61,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n99subj,finished,99,0,0.001,10,0.7184816002845764,0.7208532094955444,107559,False
mult-d-grid-20260718-151409-65d8979e,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n101subj,finished,101,1,0.0003,1,0.7191901803016663,0.7171144485473633,107561,False
mult-d-grid-20260718-151409-781bb4b8,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n101subj,finished,101,1,0.001,1,0.7146695256233215,0.7121408581733704,107560,False
mult-d-grid-20260718-151409-30b3e011,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n101subj,finished,101,1,0.0003,2,0.7184064984321594,0.7164189219474792,107559,False
mult-d-grid-20260718-151409-2904e783,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n101subj,finished,101,1,0.001,2,0.7151801586151123,0.7129130959510803,107559,False
mult-d-grid-20260718-151409-ab9fdf90,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n101subj,finished,101,1,0.0003,5,0.7149675488471985,0.7157366275787354,107566,False
mult-d-grid-20260718-151409-88d78245,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n101subj,finished,101,1,0.001,5,0.7157007455825806,0.7131398916244507,107559,False
mult-d-grid-20260718-151409-0375bc0a,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n101subj,finished,101,1,0.0003,10,0.7173236012458801,0.7152332663536072,107559,False
mult-d-grid-20260718-151409-5d2d1bf6,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n101subj,finished,101,1,0.001,10,0.7179349660873413,0.7131085395812988,107559,False
mult-d-grid-20260718-151409-6bb110c3,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n300subj,finished,300,0,0.0003,1,0.7207104563713074,0.7274103164672852,107561,False
mult-d-grid-20260718-151409-68391cfd,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n300subj,finished,300,0,0.001,1,0.7176280617713928,0.7240466475486755,107560,False
mult-d-grid-20260718-151409-d9e2902c,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n300subj,crashed,300,0,0.0003,2,0.7181665049438499,0.7269359827041626,63680,True
mult-d-grid-20260718-151409-b3f9e4ba,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n300subj,crashed,300,0,0.001,2,0.7166180604564817,0.7237142324447632,58670,True
mult-d-grid-20260718-151409-5d00f24c,mice_snapshot_multisubject_disrnn_beta0.0003_lr0.001_multisubject_n300subj,crashed,300,0,0.0003,5,0.7180166462216727,0.7263369560241699,59900,True
mult-d-grid-20260718-151409-dda44a9e,mice_snapshot_multisubject_disrnn_beta0.001_lr0.001_multisubject_n300subj,crashed,300,0,0.001,5,0.7158790426437965,0.7217604517936707,23210,True
