variant,n_sessions,n_model_trials,n_eval_trials,baseline,d_rt,d_lick,d_both
A mature+curricula,958,421505,210389,0.7433373188591836,0.0007278773465106969,0.006892494944508054,0.00763794235061932
B all-stage+curricula,1809,592957,297366,0.7294191509841313,0.0008391790480214434,0.007615036100365291,0.008342879465855768
C all-stage all-task,1845,613520,307042,0.7301334608481298,0.0008785955436888537,0.007778711756260992,0.008525165714913241
