regression,quantity,estimate,ci_lo,ci_hi,clustered_z
RT (log),"slope/+1SD, prev UNREWARDED",-0.29351436462867514,-0.3358451126636768,-0.2457403875974779,-12.991119950145121
RT (log),"slope/+1SD, prev REWARDED",-0.23027416463806022,-0.2912764966972419,-0.16428602050646487,-6.898885389209852
total licks,"slope/+1SD, prev UNREWARDED",-0.2771549218560027,-0.33211176450862046,-0.21817295567176365,-9.318978168856937
total licks,"slope/+1SD, prev REWARDED",0.2121307807385132,0.10951251277787946,0.312286131823476,3.857559195380363
