D,beta,mult,seed,in_ll,heldout_ll
100,0.0003,1,0,0.7252078056335449,0.719312310218811
100,0.0003,1,1,0.7169731259346008,0.718635618686676
100,0.0003,2,0,0.723869264125824,0.7163837552070618
100,0.0003,2,1,0.7161039113998413,0.7178652882575989
100,0.0003,5,0,0.7241891026496887,0.7156735062599182
100,0.0003,5,1,0.7156632542610168,0.7177592515945435
100,0.0003,10,0,0.7243005037307739,0.7150723934173584
100,0.0003,10,1,0.7152720093727112,0.7178705334663391
100,0.0003,10,1,0.7156339287757874,0.7143205404281616
100,0.001,1,0,0.7216087579727173,0.7181903719902039
100,0.001,1,1,0.713142991065979,0.7173814177513123
100,0.001,2,0,0.7204686403274536,0.7178251147270203
100,0.001,2,1,0.713306188583374,0.7169293761253357
100,0.001,5,0,0.7191900610923767,0.71363765001297
100,0.001,5,1,0.7127634286880493,0.7143568992614746
100,0.001,10,0,0.7215108871459961,0.7178778052330017
100,0.001,10,0,0.7210493683815002,0.7175657749176025
100,0.001,10,1,0.7126758098602295,0.71751469373703
100,0.001,10,1,0.7126975059509277,0.7189240455627441
100,0.003,1,0,0.7109900116920471,0.708630383014679
100,0.003,1,1,0.708256185054779,0.7136983871459961
100,0.003,2,0,0.7168108820915222,0.7122333645820618
100,0.003,2,1,0.7032142877578735,0.7083052396774292
100,0.003,5,0,0.7157291173934937,0.7124456167221069
100,0.003,5,1,0.7032527327537537,0.7083761096000671
100,0.003,10,0,0.7158094644546509,0.7120681405067444
100,0.003,10,0,0.7169530987739563,0.7143043875694275
100,0.003,10,1,0.7033346891403198,0.7086808681488037
100,0.003,10,1,0.7030959129333496,0.7081994414329529
