subject_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,dominant_family
synth000,0.2644212245941162,-0.2760877013206482,-0.029633518308401108,-0.07022631913423538,-0.009842432104051113,-0.022812338545918465,0.020945662632584572,0.023989571258425713,-1.4699580669403076,0.11460057646036148,-0.002689907094463706,0.0723927840590477,-0.06553062796592712,0.09153735637664795,-0.04467238858342171,0.04095732420682907,QLearning
synth001,-0.22664347290992737,0.1971106380224228,-0.07867255806922913,0.09238866716623306,-0.0887550413608551,-0.01686936803162098,0.6767623424530029,-0.25828802585601807,0.8858922719955444,0.04945230856537819,0.010571091435849667,0.028358258306980133,0.03269140422344208,0.08907622843980789,-0.04879506677389145,0.003347364952787757,CompareToThreshold
synth002,-0.02160792239010334,-0.5659173727035522,-0.003902902826666832,0.08381214737892151,-0.004016743041574955,0.017399083822965622,-0.6725817322731018,-0.03945981711149216,1.3935035467147827,-0.002098839497193694,0.0692375972867012,-0.1330469399690628,0.13538910448551178,0.054237689822912216,0.015385791659355164,-0.03978985175490379,LossCounting
synth003,-0.0654802918434143,-0.2481347620487213,-0.11064998060464859,0.04322395101189613,-0.15137925744056702,0.05894649401307106,-0.7439041137695312,-0.037632059305906296,-0.5322921872138977,0.05058722570538521,-0.09134303778409958,0.12619522213935852,-0.04586914926767349,0.14247038960456848,-0.16272978484630585,0.06265400350093842,QLearning
synth004,-0.03681758791208267,1.0653470754623413,0.018567919731140137,0.04140126332640648,0.010856565088033676,-0.044560011476278305,1.1613795757293701,-0.03821184113621712,0.3840361535549164,0.19553518295288086,-0.006736134644597769,-0.0490482822060585,0.008326541632413864,-0.13076439499855042,0.010531089268624783,-0.01848665066063404,CompareToThreshold
synth005,0.09594849497079849,1.8475890159606934,-0.0737479105591774,0.025596104562282562,0.17062918841838837,-0.11741925030946732,-0.6537837386131287,0.020655689761042595,-0.6240027546882629,0.01224595494568348,-0.000853697769343853,0.04581131413578987,0.09594929963350296,-0.05629846453666687,-0.04846445843577385,0.03256569802761078,LossCounting
synth006,0.22147463262081146,-0.3681259751319885,-0.1351713091135025,0.10678358376026154,-0.07877752184867859,-0.020894711837172508,0.30865004658699036,0.010817437432706356,-1.1923067569732666,0.012903858907520771,-0.1250447928905487,0.0901123657822609,-0.032912302762269974,0.02244897559285164,0.0320771150290966,0.13878685235977173,QLearning
synth007,-0.10423877835273743,0.12123244255781174,0.22750501334667206,-0.10776342451572418,-0.06283863633871078,-0.05987399443984032,1.4884141683578491,-0.0471021831035614,1.0503777265548706,-0.0361177884042263,0.05410067364573479,-0.06958705186843872,0.08333540707826614,0.052008841186761856,-0.15690650045871735,-0.07275143265724182,CompareToThreshold
synth008,-0.007098027970641851,-0.02630712278187275,0.028749065473675728,-0.09466050565242767,-0.019212722778320312,0.14544670283794403,-0.5664405226707458,-0.08872716128826141,1.0678414106369019,-0.027507100254297256,-0.05071726813912392,-0.0019565981347113848,-0.03262441232800484,-0.021746046841144562,-0.12443197518587112,0.04147147387266159,LossCounting
synth009,-0.037777166813611984,-0.36924031376838684,-0.022856121882796288,0.014505787752568722,0.049481358379125595,-0.04956020042300224,-1.1282979249954224,0.017797181382775307,0.012395517900586128,0.0641799122095108,-0.02245446667075157,-0.03752234950661659,-0.0543997660279274,-0.054533619433641434,-0.017858728766441345,0.005996535066515207,QLearning
synth010,-0.10470940917730331,-0.07728639245033264,-0.19369013607501984,0.04209088906645775,-0.06836758553981781,0.10968682169914246,0.5199127793312073,-0.06521354615688324,0.47807833552360535,0.23242487013339996,-0.09826765954494476,0.03751847520470619,-0.01001330092549324,0.08673315495252609,-0.19097726047039032,-0.04856792464852333,CompareToThreshold
synth011,-0.08315397053956985,1.2200605869293213,-0.14836061000823975,-0.1372496336698532,0.021998105570673943,0.010785453952848911,-0.06529270857572556,-0.15906020998954773,-0.6641439199447632,0.11263241618871689,-0.03481012582778931,0.15648847818374634,-0.05977850779891014,-0.04177336394786835,-0.08238562941551208,0.01556791178882122,LossCounting
synth012,0.034605734050273895,-0.24078969657421112,0.08206487447023392,-0.07588351517915726,-0.013189252465963364,-0.01372640673071146,0.0006901139859110117,-0.016909901052713394,-1.1872676610946655,0.01367980521172285,-0.14869573712348938,0.18409036099910736,0.07830702513456345,0.019634779542684555,-0.059043921530246735,-0.0833733081817627,QLearning
