run,enc,embed,lik_rel,preset_acc,chance,within_Bari2019_R2mean,within_Hattori2019_R2mean,within_RescorlaWagner_R2mean
1y7vz70o,none,4,0.98981410930724,0.985,0.3333333333333333,0.6279398452570885,0.7190091555729005,0.8026509540828908
5ux1j76q,none,8,0.9900032697629142,0.99,0.3333333333333333,0.5396447363433381,0.8597937053460185,0.8794319828080104
f6t0d04a,scalar,16,0.986874984818958,0.99,0.3333333333333333,0.49702927677509684,0.8476705346721015,0.8841239079583523
h1agerky,none,16,0.9780029035494676,0.975,0.3333333333333333,0.5037922301886526,0.7777805006453218,0.8036209987223756
nxn0ddc6,scalar,8,0.9890597096076844,0.995,0.3333333333333333,0.7122239788085285,0.8594630164692048,0.9165265503955801
ok01hebs,scalar,4,0.9898977405004044,0.98,0.3333333333333333,0.6111800775118833,0.7319434142846264,0.9141050039765272
