subject_id,true_family,selected_baseline
synth180,QLearning,QLearning
synth181,CompareToThreshold,QLearning
synth182,LossCounting,LossCounting
synth183,QLearning,QLearning
synth184,CompareToThreshold,LossCounting
synth185,LossCounting,LossCounting
synth186,QLearning,CompareToThreshold
synth187,CompareToThreshold,CompareToThreshold
synth188,LossCounting,LossCounting
synth189,QLearning,CompareToThreshold
synth190,CompareToThreshold,CompareToThreshold
synth191,LossCounting,LossCounting
synth192,QLearning,CompareToThreshold
synth193,CompareToThreshold,CompareToThreshold
synth194,LossCounting,LossCounting
synth195,QLearning,CompareToThreshold
synth196,CompareToThreshold,QLearning
synth197,LossCounting,QLearning
synth198,QLearning,QLearning
synth199,CompareToThreshold,CompareToThreshold
