cond,r2_biasL,r2_learn_rate,r2_softmax_temp,sessfrac_R2
baseline_rl,0.8609277919260631,0.8664244280765767,0.7191822613147053,
subj_only,0.8190078149366524,0.8666990101527119,0.8605356085335828,0.0
conditioned,0.815106222382298,0.977714987201249,0.9253231488118898,0.9371025092211954
