true_preset,subject_id,param,true_initial,gru_pred_static
Bari2019,synth000,biasL,0.8585025716686541,0.5765666042673705
Bari2019,synth000,choice_kernel_relative_weight,0.2194392198760261,0.2477556249714421
Bari2019,synth000,forget_rate_unchosen,0.343439167964553,0.1657635016709877
Bari2019,synth000,learn_rate,0.6918033392514339,0.8462186723344476
Bari2019,synth000,softmax_inverse_temperature,2.346011450511339,6.168895757199627
Bari2019,synth003,biasL,1.0435878148124234,0.582044356967262
Bari2019,synth003,choice_kernel_relative_weight,0.331258808530291,0.3100380733167256
Bari2019,synth003,forget_rate_unchosen,0.2450117460181208,0.1948192066702765
Bari2019,synth003,learn_rate,0.818737188992684,0.9593665503663072
Bari2019,synth003,softmax_inverse_temperature,11.768174000492449,10.717033918587155
Bari2019,synth006,biasL,0.3096307458745087,0.2670231862159284
Bari2019,synth006,choice_kernel_relative_weight,0.1397001150140358,0.1321295882971393
Bari2019,synth006,forget_rate_unchosen,0.0132840986484768,0.2038565914381189
Bari2019,synth006,learn_rate,0.7808731918079431,0.9721803385102028
Bari2019,synth006,softmax_inverse_temperature,3.984018524938871,5.332265796780822
Bari2019,synth009,biasL,-0.9343552279518184,-0.4550636590053496
Bari2019,synth009,choice_kernel_relative_weight,0.4802147255248253,0.3953746019695575
Bari2019,synth009,forget_rate_unchosen,0.3733493558791571,0.1377842923474871
Bari2019,synth009,learn_rate,0.2980898798294975,0.7025537174760064
Bari2019,synth009,softmax_inverse_temperature,19.85412779919184,23.996256198763547
Bari2019,synth012,biasL,0.9221729847488848,0.5753136178334008
Bari2019,synth012,choice_kernel_relative_weight,0.0465455241553317,-0.2380093588582284
Bari2019,synth012,forget_rate_unchosen,0.001179273878016,0.0957590954088613
Bari2019,synth012,learn_rate,0.243250999860812,0.4764643227628153
Bari2019,synth012,softmax_inverse_temperature,6.419693535296198,6.6381144290056415
Bari2019,synth015,biasL,0.5353993951460454,0.2195452942857187
Bari2019,synth015,choice_kernel_relative_weight,0.1670115144443208,0.2725788261859816
Bari2019,synth015,forget_rate_unchosen,0.2741936318797949,0.1477878513103148
Bari2019,synth015,learn_rate,0.2443613175559003,0.5908543040568519
Bari2019,synth015,softmax_inverse_temperature,11.814699501276728,7.763098594637599
Bari2019,synth018,biasL,-0.6534413492573217,-0.3707201597664075
Bari2019,synth018,choice_kernel_relative_weight,0.4516025443109911,0.3563858380182855
Bari2019,synth018,forget_rate_unchosen,0.0735818437173169,0.2113723562756931
Bari2019,synth018,learn_rate,0.2408607552086757,0.587850334899422
Bari2019,synth018,softmax_inverse_temperature,3.0542530804851236,4.297498199067814
Bari2019,synth021,biasL,-0.1820918024609668,-0.1382557591033033
Bari2019,synth021,choice_kernel_relative_weight,0.4382479014709382,0.3735042500678648
Bari2019,synth021,forget_rate_unchosen,0.1435838705082373,0.220927189715511
Bari2019,synth021,learn_rate,0.6894116481553358,0.8671737973548519
Bari2019,synth021,softmax_inverse_temperature,7.828251787493581,9.466898104716714
Bari2019,synth024,biasL,-1.1118865905055857,-0.4749843915218752
Bari2019,synth024,choice_kernel_relative_weight,0.444871381362047,0.4126728202081354
Bari2019,synth024,forget_rate_unchosen,0.3167963809359608,0.1460543752424712
Bari2019,synth024,learn_rate,0.1655661090319769,0.5113153876939964
Bari2019,synth024,softmax_inverse_temperature,12.970746891839298,10.374168804745668
Bari2019,synth027,biasL,1.466494854072249,0.7897156137992526
Bari2019,synth027,choice_kernel_relative_weight,0.2164348911436341,0.2225588948774656
Bari2019,synth027,forget_rate_unchosen,0.2494843301433072,0.1919813709123684
Bari2019,synth027,learn_rate,0.4371091129624747,0.7554516224879415
Bari2019,synth027,softmax_inverse_temperature,4.181110132999285,6.202463454872271
Bari2019,synth030,biasL,-0.9258317747344728,-0.4374391520297626
Bari2019,synth030,choice_kernel_relative_weight,0.4782502533797175,0.4181434872781107
Bari2019,synth030,forget_rate_unchosen,0.2816360768882431,0.204516644044344
Bari2019,synth030,learn_rate,0.6184760785435808,0.8812050382116763
Bari2019,synth030,softmax_inverse_temperature,9.555359938196036,7.69047575884634
Bari2019,synth033,biasL,-0.1344904343625715,-0.0009662402382454
Bari2019,synth033,choice_kernel_relative_weight,0.2486242818588563,0.2520093254599579
Bari2019,synth033,forget_rate_unchosen,0.0103350910904402,0.1818875866797256
Bari2019,synth033,learn_rate,0.5062918134158966,0.7881106110295899
Bari2019,synth033,softmax_inverse_temperature,9.000156477761973,11.19244545989802
Bari2019,synth036,biasL,-0.5922276335933778,-0.5312185347636323
Bari2019,synth036,choice_kernel_relative_weight,0.1108762719538636,0.1465094323000706
Bari2019,synth036,forget_rate_unchosen,0.3815359494256194,0.1968443150916006
Bari2019,synth036,learn_rate,0.8644317358704716,1.0157819633763765
Bari2019,synth036,softmax_inverse_temperature,5.744364177051137,6.3805780976800115
Bari2019,synth039,biasL,-0.5331501096940879,-0.3115800974380434
Bari2019,synth039,choice_kernel_relative_weight,0.0194676657905363,-0.1590587770697763
Bari2019,synth039,forget_rate_unchosen,0.0193673017871415,0.0877242397302973
Bari2019,synth039,learn_rate,0.3361035773189102,0.49317909610329
Bari2019,synth039,softmax_inverse_temperature,5.874982317641381,3.648218941960811
Bari2019,synth042,biasL,1.3440726517261,0.9983177276218552
