subject_id,biasL_true,biasL_recovered,learn_rate_true,learn_rate_recovered,softmax_temp_true,softmax_temp_recovered
synth000,0.82186814566789,0.585441286816212,0.4511027518016418,0.44021485181902353,13.161772958847973,11.8940067561833
synth001,-0.3249250373459542,-0.5593694477794675,0.398227464760449,0.39318080450353327,14.078480616313398,14.206417958000426
synth002,-1.0076742349654204,-0.8300452753713059,0.7363197301921477,0.7113673310450448,6.297433864384024,7.687629220884023
synth003,1.0667437919561662,0.9252419647944287,0.6300140936484656,0.6154528171717327,9.962881745588929,10.075102331674996
synth004,0.3978153040732133,0.6761923042194001,0.8869497259250091,0.8958057984444425,13.10261779111137,11.495601614992456
synth005,0.8320067440353425,0.8739107390993109,0.8401959476551446,0.8392318088754916,8.4338081244463,8.513519555887694
synth006,0.3847008762446757,0.7905180982434852,0.3235201840224573,0.36707939338007733,2.4317332060754975,1.6410440940687447
synth007,-0.065043268351129,0.030720689881728394,0.5845372161499106,0.5793458282825817,3.540569653676444,3.598054898545623
synth008,-0.5740122004290368,-0.604976925235123,0.5692825830780408,0.5739502595145546,2.6247825405829444,1.6740213183052557
synth009,-1.2634890036898396,-1.073763804389807,0.8683435608397206,0.8824050575066478,14.133854066072606,13.620723510095058
synth010,-0.2211316906413669,-0.19152400853923685,0.3424634119406063,0.37021697914821305,10.323748255820757,10.062020864736324
synth011,0.4614895433590507,0.5345525357015245,0.1307363619789974,0.09069998810798258,9.09586975390522,9.469130973256608
synth012,1.0996076558308785,1.9006972940289042,0.1744728386485307,0.19056311919936786,2.0383264010355227,0.04087380046708411
synth013,-1.4166212004637075,-2.1016325986120425,0.1677164810618041,0.1800852789536972,2.218913766961575,0.8071161103455307
synth014,1.276060976786138,1.1218382520783428,0.4674951019568233,0.48848618818558703,5.582710000254252,6.374942561630823
synth015,0.4730800822162702,0.41271190539833225,0.3672184231109134,0.3828823158748098,10.911293036093335,10.990961112221713
synth016,0.4640453460101323,0.386952052531325,0.33610970177995,0.377726636804624,6.247925893003963,6.962188421133402
synth017,0.8185712030558889,0.6908372614961036,0.5136905943452924,0.522368491051129,8.70955069311,9.219382401818107
