subject_id,true_preset,selected_baseline,evallik_Bari2019,evallik_Hattori2019,evallik_CompareToThreshold,evallik_RescorlaWagner
synth000,Bari2019,CompareToThreshold,0.5589660692947499,0.5569782513942779,0.5590941973064479,0.5306932414960113
synth001,Hattori2019,Hattori2019,0.5783055297951435,0.5785756416502684,0.5778545213071309,0.5075436354120759
synth002,RescorlaWagner,Bari2019,0.697972145681947,0.6942952018033676,0.6850796417082471,0.6229677592007234
synth003,Bari2019,CompareToThreshold,0.8793526628987199,0.840578858133523,0.8806038647509979,0.6020007280270183
synth004,Hattori2019,Hattori2019,0.7208958783442793,0.7248811302146935,0.7175883204446478,0.626697779332833
synth005,RescorlaWagner,RescorlaWagner,0.6953939095658727,0.690435745611471,0.6701643385318015,0.7131658051848841
synth006,Bari2019,Hattori2019,0.5225756537908445,0.5382281705501183,0.5372537145732953,0.5014500850972636
synth007,Hattori2019,Hattori2019,0.7813688058679572,0.7818967640357266,0.7726862819359027,0.6757419481701844
synth008,RescorlaWagner,Bari2019,0.7127895772228482,0.7042775012429168,0.7049736363952043,0.65395607476867
synth009,Bari2019,CompareToThreshold,0.9857430054664844,0.977690773583344,0.9858298764659352,0.8454948253174228
synth010,Hattori2019,Hattori2019,0.9310954077203274,0.9359118210824872,0.934197159174648,0.8554362041989743
synth011,RescorlaWagner,CompareToThreshold,0.8202669644435012,0.8826456374168256,0.8867377346946442,0.4202862746396766
synth012,Bari2019,Bari2019,0.6096170681383165,0.6038817890809414,0.6066715574348172,0.5567051687098649
synth013,Hattori2019,Hattori2019,0.5814175068353505,0.5915989798199608,0.5873328865971342,0.5471635172490565
synth014,RescorlaWagner,Bari2019,0.6856571620393583,0.6534646674705865,0.6851056534953526,0.527619314984017
synth015,Bari2019,Bari2019,0.8155002134032938,0.7891145115372726,0.8136791732762596,0.6538673193273794
synth016,Hattori2019,Hattori2019,0.8631260351823421,0.8645682045063523,0.8588254283347537,0.7539698451173064
synth017,RescorlaWagner,RescorlaWagner,0.7833969290149814,0.7774655285670994,0.7607470720458699,0.7922602255493518
synth018,Bari2019,CompareToThreshold,0.5511712044073896,0.5530058184038452,0.5595047327128645,0.4859317305978339
synth019,Hattori2019,Hattori2019,0.9758673759331772,0.9805380627164488,0.979824341845813,0.8757232246936576
synth020,RescorlaWagner,Hattori2019,0.8071679181522006,0.8405688811955212,0.7822439783836131,0.6255021554008164
synth021,Bari2019,Bari2019,0.8934671976471096,0.8580212635932334,0.892455527658489,0.6156450484979118
synth022,Hattori2019,Hattori2019,0.9195787383951324,0.9244012594358024,0.919966793957152,0.8227468443773838
synth023,RescorlaWagner,Bari2019,0.8938399535692033,0.8882153753258083,0.8852129707928763,0.8262417248290093
synth024,Bari2019,CompareToThreshold,0.9623657457057236,0.9544076539771827,0.9648660883706476,0.7004039605693033
