stage,cond,r2_biasL,r2_learn_rate,r2_softmax_temp,sessfrac_R2,spearman_biasL,spearman_learn_rate,spearman_softmax_temp
S2,conditioned,0.815106222382298,0.977714987201249,0.9253231488118898,0.9371025092211954,,,
S2,subj_only,0.8190078149366524,0.8666990101527119,0.8605356085335828,0.0,,,
S2b,conditioned,0.7234758651864763,0.8838594917964502,0.837363148135216,0.4655114909739627,0.8993617014978392,0.9695887237253985,0.9172540318086774
S2b,subj_only,0.7224503243802408,0.5610435623416494,0.556750384787829,0.0,0.8983973354930234,0.7736881951218156,0.7505949337040303
S2b,baseline_rl,0.8016189948152237,0.4430701274851442,0.3238968053499114,,0.9173912283790564,0.76946029583042,0.7556939208970049
