subject_id,session_id,session_index,subject_max_session_index,session_phase,embedding_1,embedding_2,embedding_3,embedding_4
synth000,synth000_s000,1,40,0.025,-0.4422409263642674,0.2727184772447503,0.1948426500537707,0.0070447922736477
synth000,synth000_s001,2,40,0.05,-0.4405434272928707,0.2539817556351906,0.2070027169582845,0.0357757127542859
synth000,synth000_s002,3,40,0.075,-0.438845928221474,0.2352450340256309,0.2191627838627982,0.0645066332349239
synth000,synth000_s003,4,40,0.1,-0.437907447986178,0.2153181094105766,0.2311858848383684,0.0958653728394917
synth000,synth000_s004,5,40,0.125,-0.437035631908797,0.1952866499969957,0.2431969561805726,0.127454912182773
synth000,synth000_s005,6,40,0.15,-0.4363263364069141,0.1749480395903005,0.2555292306711429,0.1598488917948487
synth000,synth000_s006,7,40,0.175,-0.4338765247873153,0.1599364625210699,0.2660685097323708,0.1784888072887299
synth000,synth000_s007,8,40,0.2,-0.4290667529330932,0.1470280896888945,0.2748351860330488,0.188733708992734
synth000,synth000_s008,9,40,0.225,-0.4219800919337543,0.133208837322247,0.2830144736515014,0.1963549812462987
synth000,synth000_s009,10,40,0.25,-0.4074521445561742,0.1185399058718512,0.2897357182255639,0.1936928380526486
synth000,synth000_s010,11,40,0.275,-0.3943454655460696,0.104614698808342,0.2965607943770142,0.1924582395892194
synth000,synth000_s011,12,40,0.3,-0.381238786535965,0.0906894917448328,0.3033858705284645,0.1912236411257902
synth000,synth000_s012,13,40,0.325,-0.3642743203681575,0.0784816394460054,0.3079661022098998,0.1821173103754949
synth000,synth000_s013,14,40,0.35,-0.341344750759231,0.0686071248528155,0.3097362045043873,0.1613876324861581
synth000,synth000_s014,15,40,0.375,-0.3167035136794887,0.0579208336579187,0.311320393271369,0.13892432641209
synth000,synth000_s015,16,40,0.4,-0.2925915317231756,0.0475050921468009,0.3125054636055835,0.1167220504700444
synth000,synth000_s016,17,40,0.425,-0.2684795497668625,0.0370893506356831,0.3136905339397979,0.0945197745279989
synth000,synth000_s017,18,40,0.45,-0.2470498545095006,0.0272606072478644,0.3150951628771871,0.0751804764466634
synth000,synth000_s018,19,40,0.475,-0.2264501138664001,0.0170806749263817,0.3170352550184987,0.0572244926355015
synth000,synth000_s019,20,40,0.5,-0.2017320665640682,0.0055079225693368,0.3202013293633345,0.0353309091290168
synth000,synth000_s020,21,40,0.525,-0.1764780224177819,-0.0061274261978496,0.3234654413467908,0.0128140167741454
synth000,synth000_s021,22,40,0.55,-0.1523852769952911,-0.0174102560614601,0.3266689911425949,-0.0083411997578989
synth000,synth000_s022,23,40,0.575,-0.1283675701288898,-0.0286703075399948,0.3298686276480268,-0.0294084301538069
synth000,synth000_s023,24,40,0.6,-0.1073246671993763,-0.0390824719878777,0.3305454983895475,-0.0504222999934549
synth000,synth000_s024,25,40,0.625,-0.0885962667094756,-0.048476277518508,0.3305149826336983,-0.0697585973234054
synth000,synth000_s025,26,40,0.65,-0.0775929007271559,-0.0533372417648635,0.3281457925729792,-0.0834520770902306
synth000,synth000_s026,27,40,0.675,-0.0569679851753827,-0.0651602350003325,0.3318005150219876,-0.0993830624400683
synth000,synth000_s027,28,40,0.7,-0.0433053106975327,-0.0728884110157997,0.3345290915368408,-0.1094441042887838
synth000,synth000_s028,29,40,0.725,-0.0307631112703347,-0.0800619371866306,0.3375006931451011,-0.1181447592601213
synth000,synth000_s029,30,40,0.75,-0.0194002851649159,-0.0866008181831237,0.3402304888896879,-0.1259899597783003
synth000,synth000_s030,31,40,0.775,-0.0115575627772402,-0.0911788888370538,0.342361224311369,-0.1313529122046498
synth000,synth000_s031,32,40,0.8,-0.0049712768608271,-0.0948265440814636,0.3443836673322255,-0.1361587985065168
synth000,synth000_s032,33,40,0.825,-0.0006236874693885,-0.0968723795521407,0.3457765070941586,-0.1398050946405318
synth000,synth000_s033,34,40,0.85,0.0019565942407631,-0.0977717036440988,0.346493127723728,-0.1422729805188437
synth000,synth000_s034,35,40,0.875,0.0045368759509147,-0.0986710277360569,0.3472097483532972,-0.1447408663971557
synth000,synth000_s035,36,40,0.9,0.0063537752123677,-0.0992340036751116,0.347696325993714,-0.146561202249979
synth000,synth000_s036,37,40,0.925,0.007935494817998,-0.0996933588891008,0.3481120329570468,-0.1481820436130062
synth000,synth000_s037,38,40,0.95,0.009565516843457,-0.1001169939013707,0.3485194753682305,-0.1499086848249423
synth000,synth000_s038,39,40,0.975,0.0112377704298204,-0.100509398182763,0.3489196919522473,-0.1517278284990465
synth000,synth000_s039,40,40,1.0,0.0129100240161837,-0.1009018024641553,0.3493199085362642,-0.1535469721731507
synth028,synth028_s000,1,40,0.025,-0.4373747854387454,0.3062901615539076,0.1783310431919062,-0.0412199723209036
synth028,synth028_s001,2,40,0.05,-0.4356772863673488,0.287553439944348,0.1904911100964198,-0.0124890518402655
synth028,synth028_s002,3,40,0.075,-0.433979787295952,0.2688167183347883,0.2026511770009335,0.0162418686403726
synth028,synth028_s003,4,40,0.1,-0.4329676289743707,0.2490053269259798,0.2146875732822996,0.0473455253998962
synth028,synth028_s004,5,40,0.125,-0.4323456776836625,0.2285016428901586,0.2271924735190863,0.0801718391979648
synth028,synth028_s005,6,40,0.15,-0.4327697033448933,0.2060211454042305,0.2417646264040521,0.1181755034810045
synth028,synth028_s006,7,40,0.175,-0.4279729195138217,0.1916586500607744,0.2510919733925713,0.1311533685458699
synth028,synth028_s007,8,40,0.2,-0.4208862585144828,0.1778393976941269,0.2592712610110239,0.1387746407994346
synth028,synth028_s008,9,40,0.225,-0.4141238326190845,0.1641632555076514,0.2674822127372059,0.1467460867051235
synth028,synth028_s009,10,40,0.25,-0.4049986505630062,0.1512025677576312,0.2749342608203939,0.1505431384757706
synth028,synth028_s010,11,40,0.275,-0.3918919715529017,0.1372773606941221,0.2817593369718442,0.1493085400123414
synth028,synth028_s011,12,40,0.3,-0.3787852925427972,0.123352153630613,0.2885844131232945,0.1480739415489122
synth028,synth028_s012,13,40,0.325,-0.3612913743421249,0.110446712490424,0.2933410777176544,0.1389214239297781
synth028,synth028_s013,14,40,0.35,-0.337378236479291,0.1001560397639801,0.2942035960617351,0.1167613148831024
synth028,synth028_s014,15,40,0.375,-0.3133891069820619,0.0898175698855419,0.2951893831058251,0.0945850910439757
synth028,synth028_s015,16,40,0.4,-0.2892771250257487,0.079401828374424,0.2963744534400396,0.0723828151019301
synth028,synth028_s016,17,40,0.425,-0.2651651430694356,0.0689860868633063,0.2975595237742541,0.0501805391598846
synth028,synth028_s017,18,40,0.45,-0.2415175426228397,0.0586719717274768,0.2987826060613495,0.028473927600682
synth028,synth028_s018,19,40,0.475,-0.2200935641384767,0.0475824297996155,0.3012951023995919,0.0103190070069292
synth028,synth028_s019,20,40,0.5,-0.1963474120654237,0.0361231802608665,0.3042834101878901,-0.0104443629489589
synth028,synth028_s020,21,40,0.525,-0.1710997017768431,0.024489754172598,0.3075471918581623,-0.0329538285662248
synth028,synth028_s021,22,40,0.55,-0.1470819949104417,0.0132297026940633,0.3107468283635943,-0.0540210589621329
synth028,synth028_s022,23,40,0.575,-0.1230642880440404,0.0019696512155286,0.3139464648690263,-0.0750882893580409
synth028,synth028_s023,24,40,0.6,-0.1020120388317474,-0.0082302286672623,0.3146214475928419,-0.0962942688431292
synth028,synth028_s024,25,40,0.625,-0.0830215523749732,-0.0171575584608814,0.3144882538283431,-0.1165747528907865
synth028,synth028_s025,26,40,0.65,-0.0713832894102659,-0.0224178636663534,0.3123714463326235,-0.130681624818409
