true_preset,subject_id,param,true_initial,true_centroid,fitted_static
Bari2019,synth000,biasL,0.8585025716686541,0.82186814566789,0.3652386573865213
Bari2019,synth000,choice_kernel_relative_weight,0.2194392198760261,0.2194392198760261,0.1026814629207302
Bari2019,synth000,forget_rate_unchosen,0.343439167964553,0.343439167964553,1.0
Bari2019,synth000,learn_rate,0.6918033392514339,0.6578944232474911,0.112089566792617
Bari2019,synth000,softmax_inverse_temperature,2.346011450511339,3.224305522539444,4.072812711588629
Bari2019,synth003,biasL,1.0435878148124234,1.0667437919561662,0.6905640979221683
Bari2019,synth003,choice_kernel_relative_weight,0.331258808530291,0.331258808530291,0.3208453386539248
Bari2019,synth003,forget_rate_unchosen,0.2450117460181208,0.2450117460181208,0.0094067227686371
Bari2019,synth003,learn_rate,0.818737188992684,0.7679506783898451,0.9590814488404096
Bari2019,synth003,softmax_inverse_temperature,11.768174000492449,10.049746723566576,9.616421786492742
Bari2019,synth006,biasL,0.3096307458745087,0.3847008762446757,0.2224325992506896
Bari2019,synth006,choice_kernel_relative_weight,0.1397001150140358,0.1397001150140358,0.3740117507998228
Bari2019,synth006,forget_rate_unchosen,0.0132840986484768,0.0132840986484768,0.0329830133429105
Bari2019,synth006,learn_rate,0.7808731918079431,0.746125143765862,0.8188843842951256
Bari2019,synth006,softmax_inverse_temperature,3.984018524938871,3.0281133434504532,1.7128052310696087
Bari2019,synth009,biasL,-0.9343552279518184,-1.2634890036898396,-0.7354060153765803
Bari2019,synth009,choice_kernel_relative_weight,0.4802147255248253,0.4802147255248253,0.0636314558264627
Bari2019,synth009,forget_rate_unchosen,0.3733493558791571,0.3733493558791571,1.0
Bari2019,synth009,learn_rate,0.2980898798294975,0.3967111141737135,0.9576463124679412
Bari2019,synth009,softmax_inverse_temperature,19.85412779919184,14.671143775048188,100.0
Bari2019,synth012,biasL,0.9221729847488848,1.0996076558308785,0.5739736683439879
Bari2019,synth012,choice_kernel_relative_weight,0.0465455241553317,0.0465455241553317,0.1169852660500631
Bari2019,synth012,forget_rate_unchosen,0.001179273878016,0.001179273878016,0.013966090951864
Bari2019,synth012,learn_rate,0.243250999860812,0.2618043672968244,0.4741544166158777
Bari2019,synth012,softmax_inverse_temperature,6.419693535296198,5.870001890634899,3.820135671429104
Bari2019,synth015,biasL,0.5353993951460454,0.4730800822162702,0.2559197596384368
Bari2019,synth015,choice_kernel_relative_weight,0.1670115144443208,0.1670115144443208,0.4351129244334544
Bari2019,synth015,forget_rate_unchosen,0.2741936318797949,0.2741936318797949,0.0219768166131122
Bari2019,synth015,learn_rate,0.2443613175559003,0.2781755777546228,0.4859811941781328
Bari2019,synth015,softmax_inverse_temperature,11.814699501276728,9.264262574219291,4.457896992326714
Bari2019,synth018,biasL,-0.6534413492573217,-0.5552810643903725,-0.3053803241892937
Bari2019,synth018,choice_kernel_relative_weight,0.4516025443109911,0.4516025443109911,0.042312250728266
Bari2019,synth018,forget_rate_unchosen,0.0735818437173169,0.0735818437173169,0.8756981630383768
Bari2019,synth018,learn_rate,0.2408607552086757,0.2814419603785015,0.0436760340514651
Bari2019,synth018,softmax_inverse_temperature,3.0542530804851236,2.610462471504311,7.654807262109418
Bari2019,synth021,biasL,-0.1820918024609668,-0.1440696158237306,-0.059136853741138
Bari2019,synth021,choice_kernel_relative_weight,0.4382479014709382,0.4382479014709382,0.7622700501040616
Bari2019,synth021,forget_rate_unchosen,0.1435838705082373,0.1435838705082373,0.0070926827008615
Bari2019,synth021,learn_rate,0.6894116481553358,0.7039867613951235,0.8356194006290145
Bari2019,synth021,softmax_inverse_temperature,7.828251787493581,9.287835487679317,4.212416511662928
Bari2019,synth024,biasL,-1.1118865905055857,-1.0698412059682934,-0.4730802278788356
Bari2019,synth024,choice_kernel_relative_weight,0.444871381362047,0.444871381362047,0.708908065630203
Bari2019,synth024,forget_rate_unchosen,0.3167963809359608,0.3167963809359608,0.0048474190408376
Bari2019,synth024,learn_rate,0.1655661090319769,0.1321929413211457,0.2839766626922678
