run,model,enc,embed,rel_LL,mix_R2_mean,family_acc_subject,persession_acc_sessioncond,persession_acc_subjectonly,mixR2_QLearning,mixR2_CompareToThreshold,mixR2_LossCounting
z7eog1tz,GRU,none,4,0.9860562139913056,0.06940413093412008,0.47,,,0.08310432690013181,0.02015882388956758,0.10494924201266087
xp67bb8f,GRU,none,16,0.9842033527456736,0.4756665178366241,0.66,,,0.3751335163264632,0.6236738613211215,0.42819217586228764
obeclkjl,GRU,scalar,4,0.9877752550076508,0.086522145948155,0.46,0.40925,0.394,0.1340468746669583,0.00368530676676182,0.12183425641074486
tosl1m48,GRU,scalar,8,0.9879707927706216,0.1588825885983676,0.625,0.54425,0.554875,0.06144157828874797,0.3630180857408827,0.05218810176547217
07y7p2cu,GRU,scalar,16,0.9843097264756054,0.5503346542599982,0.71,0.617375,0.6295,0.42264249430017553,0.7194904507010911,0.5088710177787279
