embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,subject_id,fam,param_biasL,param_choice_kernel_relative_weight,param_forget_rate_unchosen,param_learn_rate,param_softmax_inverse_temperature,param_threshold,param_loss_count_threshold_mean,param_loss_count_threshold_std
-0.20803433656692505,-0.2170465886592865,-0.17285358905792236,-0.04090869426727295,-0.4816203713417053,0.3568372130393982,0.18979328870773315,0.0737375020980835,synth000,QLearning,0.4793933849952531,0.21943921987602616,0.343439167964553,0.8996321072343031,3.719154577940249,,,
0.33725157380104065,0.12001435458660126,-0.24872848391532898,0.2537814974784851,-0.060017772018909454,-0.13603749871253967,0.21594300866127014,-0.16140928864479065,synth001,CompareToThreshold,-0.20806599094383094,,,0.698353567357494,14.005505248974902,0.3259548872804461,,
0.181996688246727,-0.1256854385137558,0.10661248117685318,0.12094342708587646,0.7798530459403992,-0.13623648881912231,-0.2538577914237976,0.1419287919998169,synth002,LossCounting,-0.2576445956392742,,,,,,5.720496497984711,0.7950293042993264
-0.27673086524009705,-0.33256518840789795,-0.34401237964630127,-0.018108103424310684,-0.10750588774681091,0.1301697939634323,-0.4813780188560486,-0.7996771931648254,synth003,QLearning,0.6368439792222058,0.331258808530291,0.24501174601812084,0.9509077631644203,10.353631505862593,,,
0.057980846613645554,-0.07668148726224899,-0.8344456553459167,0.005695093888789415,-0.29215744137763977,-0.6574656367301941,0.27083492279052734,0.008313562721014023,synth004,CompareToThreshold,0.256478394447011,,,0.9878811758191978,13.282927154674827,0.5693882602142564,,
0.023512614890933037,0.07546143978834152,0.28598323464393616,-0.49320486187934875,0.6345250606536865,-0.24941635131835938,0.24131861329078674,-0.32579153776168823,synth005,LossCounting,0.20690761742430247,,,,,,6.388384134327451,1.09083497107718
-0.2648616433143616,-0.06362602859735489,-0.27936843037605286,-0.014064191840589046,-0.6043868660926819,0.37921321392059326,0.21313050389289856,0.09489867836236954,synth006,QLearning,0.19260852551948365,0.1397001150140358,0.01328409864847684,0.9509584048714812,3.4001323308789475,,,
0.023957887664437294,0.09947992116212845,-0.5053255558013916,0.29524198174476624,-0.002823285525664687,0.13648177683353424,0.4328252375125885,-0.08076867461204529,synth007,CompareToThreshold,-0.06619343227729634,,,0.8526201725737215,3.884703521547805,0.559633379733425,,
0.19228346645832062,-0.2615731656551361,0.13368141651153564,-0.10195337235927582,0.6340654492378235,-0.19097600877285004,-0.0765112116932869,0.2726166546344757,synth008,LossCounting,-0.1193300232635083,,,,,,4.739541804067502,0.28650835177302314
0.14522241055965424,0.05410637706518173,-0.06498340517282486,0.02015858143568039,0.07371040433645248,-0.3306710124015808,-0.7724884748458862,-0.5770921111106873,synth009,QLearning,-0.7391474147803084,0.48021472552482536,0.37334935587915713,0.7001660229835183,14.543053660718996,,,
0.24389900267124176,0.16679662466049194,-0.2270943820476532,0.2087940126657486,-0.07895532250404358,-0.030452212318778038,0.22041454911231995,-0.12803488969802856,synth010,CompareToThreshold,-0.10781304563071356,,,0.6364520735279254,10.151410842969781,0.3009053743864761,,
-0.5735836625099182,-0.23242810368537903,-0.014973338693380356,-0.13221673667430878,0.3350726068019867,-0.2708204686641693,0.29754123091697693,0.02569633722305298,synth011,LossCounting,0.13263883314748326,,,,,,1.9631821540195837,1.1825050428484152
0.044448528438806534,0.4177887737751007,-0.2813873291015625,-0.3766675293445587,-0.22173461318016052,0.40828773379325867,0.030592218041419983,0.09566031396389008,synth012,QLearning,0.6077777477747687,0.0465455241553317,0.001179273878016085,0.5598144707531187,5.8160787099587345,,,
0.0001576013892190531,0.4887978732585907,-0.37771740555763245,0.17155933380126953,-0.13907784223556519,-0.010516582988202572,0.31031090021133423,0.20081834495067596,synth013,CompareToThreshold,-0.8560023311351792,,,0.46654746143674936,2.3918156600406046,0.4150989484475696,,
-0.1214965283870697,-0.07964570075273514,0.1083284541964531,-0.6438220143318176,0.530741810798645,-0.2421528548002243,0.29126644134521484,-0.17068320512771606,synth014,LossCounting,0.303147212859498,,,,,,4.053202193836442,0.6960675384967426
0.1133720725774765,0.11804056912660599,-0.08941425383090973,-0.08216223120689392,-0.12371277064085007,0.33520084619522095,-0.08084501326084137,-0.04822468385100365,synth015,QLearning,0.2894037229971919,0.16701151444432089,0.27419363187979495,0.567863263115097,9.265313117926869,,,
0.21381248533725739,0.223515123128891,-0.3835342526435852,0.1805431991815567,0.06586069613695145,0.1314764767885208,0.4004644453525543,-0.03803294897079468,synth016,CompareToThreshold,0.2840120246663152,,,0.6429258929421107,6.0295143861414635,0.534392217769289,,
-0.1578490287065506,-0.07551632076501846,0.1161506399512291,-0.3766108453273773,0.5614787340164185,-0.17474128305912018,0.19396141171455383,-0.1836726814508438,synth017,LossCounting,0.17076382507051127,,,,,,4.362148152297974,1.1290147113536924
-0.20607653260231018,0.213760107755661,0.04166121035814285,0.011373714543879032,-0.2831319570541382,0.19800853729248047,-0.008376982994377613,0.1906820386648178,synth018,QLearning,-0.37190391608259515,0.4516025443109911,0.07358184371731698,0.5917536469512961,3.0335308705277204,,,
0.3130393326282501,0.09633278101682663,-0.18687878549098969,0.2462155818939209,-0.18242700397968292,-0.09661195427179337,0.13391540944576263,-0.17288808524608612,synth019,CompareToThreshold,-0.43967339187234733,,,0.6974866538748455,13.13957575549093,0.20595522143668257,,
-0.16985659301280975,-0.3031739592552185,0.005688612349331379,-0.3756248652935028,0.45054587721824646,-0.12389859557151794,0.2613290846347809,0.019215064123272896,synth020,LossCounting,0.1997171134960129,,,,,,2.645148481708533,0.7744869881941681
-0.21166469156742096,-0.11253416538238525,-0.11990649253129959,-0.04913207143545151,-0.2631186842918396,0.23666702210903168,-0.2714611291885376,-0.18401163816452026,synth021,QLearning,-0.07935793351001154,0.43824790147093823,0.1435838705082373,0.926729955069065,8.802627785275309,,,
0.05137614533305168,0.12174294143915176,-0.29786601662635803,0.2952479124069214,-0.20798061788082123,0.0053338343277573586,0.333339124917984,0.040874626487493515,synth022,CompareToThreshold,-0.48518292001114316,,,0.796803166941075,3.9012957980086362,0.29740554763158356,,
-0.6310198903083801,-0.14480724930763245,0.03643392026424408,-0.4391708970069885,0.2818857729434967,-0.27470141649246216,0.40151646733283997,0.006096777971833944,synth023,LossCounting,0.3217287869558101,,,,,,2.0500841714689053,1.3311026940072095
0.03352271392941475,-0.006735833827406168,0.11404093354940414,-0.024255888536572456,-0.16332092881202698,-0.029446279630064964,-0.32943564653396606,-0.057426370680332184,synth024,QLearning,-0.6449330815575577,0.444871381362047,0.31679638093596085,0.4394726885637814,10.75517729891823,,,
0.4163496494293213,-0.28549325466156006,-0.20170070230960846,0.3190711736679077,-0.19297826290130615,-0.08348928391933441,0.22203658521175385,-0.3060477375984192,synth025,CompareToThreshold,0.8409170594132984,,,0.9010023475664564,12.446095106071589,0.2591622049258787,,
0.10913452506065369,-0.2572873830795288,0.08542277663946152,0.04534680396318436,0.6705335378646851,-0.17511498928070068,-0.1342373937368393,0.39679622650146484,synth026,LossCounting,-0.24560430698190333,,,,,,4.222847280895002,0.24418617593288178
-0.13480915129184723,-0.08675451576709747,-0.1195594072341919,-0.10333793610334396,-0.36489230394363403,0.3613262474536896,0.2004813402891159,-0.059615734964609146,synth027,QLearning,0.8073714000499981,0.2164348911436341,0.24948433014330723,0.7558886521778361,4.962412348153965,,,
0.33699631690979004,0.008111046627163887,-0.22231607139110565,0.1441444605588913,-0.11157016456127167,-0.03078611195087433,0.20626993477344513,-0.15985837578773499,synth028,CompareToThreshold,0.45529919168762917,,,0.7340431465366661,12.575468058580736,0.2826594432404758,,
-0.2940528094768524,-0.10602802783250809,0.0755133330821991,-0.013288911432027817,0.5500265955924988,-0.1220962181687355,0.08626919239759445,-0.12207762897014618,synth029,LossCounting,0.033744510139201336,,,,,,4.40977316011206,1.7829126439226755
-0.16221073269844055,-0.11275148391723633,0.10150729864835739,0.14513635635375977,-0.14310112595558167,0.09315292537212372,-0.4076772630214691,-0.1451285183429718,synth030,QLearning,-0.45596543157142866,0.47825025337971755,0.28163607688824316,0.8641998777370293,9.086498795990844,,,
0.06710941344499588,0.3233756422996521,-0.2615654468536377,0.15955893695354462,-0.03634798899292946,0.21676717698574066,0.31770241260528564,0.009481096640229225,synth031,CompareToThreshold,0.1971638237397296,,,0.46918557609435646,3.291861745936359,0.3389777343165213,,
-0.10060906410217285,-0.21499954164028168,0.005269868765026331,0.12181157618761063,0.693592369556427,-0.03151611238718033,-0.1152813509106636,-0.016370076686143875,synth032,LossCounting,-0.11080144252940483,,,,,,4.090083914963867,1.2538528980056522
0.0307749155908823,-0.033807553350925446,-0.11704300343990326,0.057008955627679825,-0.13382063806056976,0.11134685575962067,-0.3396265506744385,-0.4084013104438782,synth033,QLearning,0.044007812483775485,0.24862428185885638,0.010335091090440285,0.7686708115007407,10.74564048636071,,,
0.2579912841320038,-0.05725496634840965,-0.4850248694419861,0.15307709574699402,0.004744290374219418,-0.10792281478643417,0.37553203105926514,-0.043857987970113754,synth034,CompareToThreshold,0.23543555740025787,,,0.888801374151688,10.862009499389817,0.5247020911730337,,
-0.01909690722823143,0.07923023402690887,0.32618609070777893,-0.5554138422012329,0.6137732863426208,-0.32258355617523193,0.28069984912872314,-0.2463526427745819,synth035,LossCounting,0.2505308580266943,,,,,,6.5988663088687876,0.8700803591511272
-0.36911168694496155,-0.06432835012674332,-0.23631225526332855,0.19840621948242188,-0.5288776755332947,0.09539787471294403,0.04579081013798714,-0.03186474367976189,synth036,QLearning,-0.4458463474955271,0.11087627195386367,0.3815359494256194,0.9738478527657952,6.269978632371627,,,
0.3586491644382477,-0.2304779440164566,-0.27873116731643677,0.2210494726896286,-0.17387789487838745,-0.15725824236869812,0.3130244314670563,-0.12079203873872757,synth037,CompareToThreshold,0.6324911943850433,,,0.919790980072951,11.679241317895341,0.3343929524835333,,
-0.03256625309586525,-0.25452205538749695,-0.03991946950554848,0.22584162652492523,0.5912524461746216,-0.07499136030673981,-0.2021797001361847,0.40503326058387756,synth038,LossCounting,-0.35005238172572617,,,,,,2.9991040953209622,0.6992867136208704
-0.1249469742178917,0.4970262348651886,-0.2744330167770386,-0.15093271434307098,-0.30573350191116333,0.32556742429733276,0.03872310742735863,0.2593440115451813,synth039,QLearning,-0.2638994233557531,0.01946766579053638,0.01936730178714159,0.5769683583897068,3.732728313745214,,,
0.29968735575675964,-0.04185976833105087,-0.37313759326934814,0.1764499545097351,0.005259960424154997,0.11554048955440521,0.3828379809856415,-0.024312583729624748,synth040,CompareToThreshold,0.6512136252030574,,,0.7405954675374203,8.602181434712115,0.5107523488394171,,
-0.12234532833099365,0.03209267184138298,0.29670584201812744,-0.3815975785255432,0.6115108132362366,-0.22087803483009338,0.2643669545650482,-0.28740066289901733,synth041,LossCounting,0.22304277842063,,,,,,5.877140715220812,1.3632771131740236
-0.25768813490867615,-0.10383021831512451,-0.284015417098999,-0.08931203186511993,-0.5123406648635864,0.46919912099838257,0.24043378233909607,-0.010058818385004997,synth042,QLearning,0.6506499811003109,0.20046926070379528,0.07591465999778464,0.9513151185519366,2.555789920060168,,,
0.1338951140642166,0.3956877887248993,-0.4117784798145294,0.19906124472618103,0.06041243299841881,0.19823363423347473,0.3733568787574768,-0.0061134351417422295,synth043,CompareToThreshold,-0.09795210033843502,,,0.5410732290843417,4.01232594697039,0.5139593225855015,,
0.14388173818588257,-0.30142828822135925,0.03458157554268837,0.06994801014661789,0.7249857783317566,-0.06681283563375473,-0.16153258085250854,0.28280261158943176,synth044,LossCounting,-0.22400458674193646,,,,,,4.168932642364996,0.2877640189271471
-0.27507469058036804,-0.008091728202998638,-0.2231540083885193,0.04435362666845322,-0.5069129467010498,0.2976037859916687,0.15961718559265137,0.04146058112382889,synth045,QLearning,0.06133427020309963,0.13919856645779904,0.20841074908070917,0.9239280665164538,3.8256617530124837,,,
0.2101624459028244,-0.06545287370681763,-0.3073725700378418,0.18832240998744965,-0.09398192167282104,0.15989457070827484,0.3839815557003021,-0.08677937835454941,synth046,CompareToThreshold,0.70720150930211,,,0.8193072157404903,5.722759750390613,0.3991045511868825,,
-0.6483480930328369,-0.05696985870599747,0.19096659123897552,-0.3357499837875366,0.3234390914440155,-0.2974056601524353,0.4038025140762329,-0.10755223780870438,synth047,LossCounting,0.3422538775921745,,,,,,2.516973078173606,1.9883884301409036
-0.10208006203174591,-0.17303404211997986,-0.008896071463823318,-0.007088684476912022,-0.03750348836183548,0.3194604218006134,-0.25608694553375244,-0.48825323581695557,synth048,QLearning,0.7668722846877192,0.4229355616463854,0.25572202231018254,0.9627818993330136,10.085227017775194,,,
0.606610119342804,-0.2712263762950897,-0.49667027592658997,0.23958487808704376,-0.04578959196805954,-0.4872545599937439,0.4768489599227905,0.01359411608427763,synth049,CompareToThreshold,0.5645058719006064,,,0.9295547455189126,14.265114824585131,0.525716105430405,,
-0.7080978751182556,-0.068388931453228,-0.043506473302841187,0.046346794813871384,0.35851818323135376,-0.28001171350479126,0.2235647290945053,0.012565556913614273,synth050,LossCounting,0.03145532751025528,,,,,,2.2448604550885447,1.636308419154561
0.033912040293216705,-0.028915870934724808,-0.17737814784049988,-0.01236655842512846,-0.22844935953617096,0.19027157127857208,-0.13257743418216705,-0.390412300825119,synth051,QLearning,0.34693778657746843,0.11396536222753595,0.3048462948137536,0.8023750673683077,11.800700128359058,,,
0.16557791829109192,0.24009649455547333,-0.30179762840270996,0.1271258145570755,0.05549662932753563,0.24904142320156097,0.3485715687274933,-0.026796042919158936,synth052,CompareToThreshold,0.6897951718682054,,,0.4460963578689235,5.0410456291855965,0.43844493380096267,,
0.10622790455818176,-0.11402967572212219,0.007360191084444523,0.13033142685890198,0.7082685232162476,0.027826368808746338,-0.24923813343048096,0.055820126086473465,synth053,LossCounting,-0.14759150351564046,,,,,,4.621959875878714,1.0883405548617615
-0.43327078223228455,0.013598380610346794,-0.17846570909023285,0.20164857804775238,-0.522291362285614,0.08922938257455826,0.057778991758823395,0.15599244832992554,synth054,QLearning,-0.7241356861429145,0.17032418066957722,0.2762818193117088,0.9221655761496343,3.325557307800531,,,
0.18701261281967163,0.06801001727581024,-0.5823612213134766,0.16177000105381012,-0.044976647943258286,-0.1412702053785324,0.387118935585022,0.07013659179210663,synth055,CompareToThreshold,-0.16858219146666617,,,0.9115183358435862,9.358001633432654,0.5960025290766932,,
-0.6118929386138916,-0.12008082866668701,0.18819789588451385,-0.25850874185562134,0.3253931999206543,-0.22929930686950684,0.4158630073070526,-0.16816990077495575,synth056,LossCounting,0.2871444260635817,,,,,,2.5427306355378962,1.9599009708282193
0.04130978882312775,0.1281598061323166,-0.058208659291267395,0.0845022201538086,-0.15595743060112,0.19857865571975708,-0.30394911766052246,-0.23023897409439087,synth057,QLearning,-0.5404724447721427,0.33615431766907117,0.04949475712174261,0.6995423844512868,9.010980628721104,,,
0.21241149306297302,0.32214099168777466,-0.3706130385398865,0.16521961987018585,0.09191762655973434,0.2175949513912201,0.3773306906223297,-0.06917736679315567,synth058,CompareToThreshold,0.4026214485288094,,,0.5118911078641759,5.829723667629495,0.5425810684122838,,
-0.04510512202978134,-0.2760482132434845,0.005962646100670099,0.13400644063949585,0.6566846370697021,-0.12018690258264542,-0.14005476236343384,0.2754374146461487,synth059,LossCounting,-0.24449508623061914,,,,,,3.5498369672697443,0.5708807659745654
-0.16973939538002014,-0.046722475439310074,0.13388775289058685,0.033123623579740524,-0.058887314051389694,-0.10552390664815903,-0.4274289309978485,-0.328450471162796,synth060,QLearning,-0.519550585064868,0.4635424723788065,0.08574034847070516,0.9656660518556578,11.571546154036255,,,
0.16372963786125183,-0.009709899313747883,-0.3217971920967102,0.2693268954753876,-0.09789733588695526,0.11976929754018784,0.34635764360427856,-0.05050879716873169,synth061,CompareToThreshold,0.10361112563956246,,,0.7847314002405005,5.515763323044736,0.36530817527231696,,
-0.20476825535297394,0.04978484287858009,0.27969977259635925,-0.4111153185367584,0.4996843636035919,-0.2758408784866333,0.3170452415943146,-0.38407424092292786,synth062,LossCounting,0.32593451515633565,,,,,,5.520826188996992,1.870851617310965
