num_subjects,r2_biasL,spearman_biasL,r2_learn_rate,spearman_learn_rate,r2_softmax_temp,r2_mean,r2_softmax_temp_raw,softmax_spearman,n_softmax_winsorized_rows,softmax_winsor_threshold,n_session_rows,wandb_run_id
50,0.8542185767072118,0.934045664549922,0.8580937684498905,0.9258108128792834,0.6981072250213434,0.8034731900594819,-0.85935692136145,0.8931941683280685,200,20.0,2000,f787vi1g
100,0.8610710046637688,0.9450495481901028,0.8687937525424545,0.9355768418366688,0.7601394333327939,0.8300013968463391,-0.6588880611042416,0.9288459174819736,240,20.0,4000,uooa8w1k
200,0.8609277919260631,0.9541439437029962,0.8664244280765767,0.934334926223636,0.7191822613147053,0.8155114937724485,-1.4621255498720205,0.921554054197226,400,20.0,8000,0l8d5rq9
300,0.8610386263541759,0.9531043050146631,0.8640387450376155,0.9323202376143486,0.7520705540074542,0.8257159751330819,-0.0677372602563053,0.9292569293905169,360,20.0,12000,col8bdj9
