true_family,subject_id,param,true_initial,baseline_fitted_static
QLearning,synth000,biasL,0.8585025716686541,0.3652539340797476
QLearning,synth000,choice_kernel_relative_weight,0.2194392198760261,0.1026795778686885
QLearning,synth000,forget_rate_unchosen,0.343439167964553,1.0
QLearning,synth000,learn_rate,0.6918033392514339,0.1120940283040943
QLearning,synth000,softmax_inverse_temperature,2.346011450511339,4.07273922352198
QLearning,synth003,biasL,1.0435878148124234,0.6905870008121491
QLearning,synth003,choice_kernel_relative_weight,0.331258808530291,0.3208817505910048
QLearning,synth003,forget_rate_unchosen,0.2450117460181208,0.0094070532949099
QLearning,synth003,learn_rate,0.818737188992684,0.9590696823281452
QLearning,synth003,softmax_inverse_temperature,11.768174000492449,9.615326674380892
QLearning,synth006,biasL,0.3096307458745087,0.2224305127311895
QLearning,synth006,choice_kernel_relative_weight,0.1397001150140358,0.3740106479344338
QLearning,synth006,forget_rate_unchosen,0.0132840986484768,0.0329826627452109
QLearning,synth006,learn_rate,0.7808731918079431,0.8188889416666835
QLearning,synth006,softmax_inverse_temperature,3.984018524938871,1.7128027002880712
QLearning,synth009,biasL,-0.9343552279518184,-0.7070898246100957
QLearning,synth009,choice_kernel_relative_weight,0.4802147255248253,0.0630823789866434
QLearning,synth009,forget_rate_unchosen,0.3733493558791571,0.0
QLearning,synth009,learn_rate,0.2980898798294975,0.9085560434629502
QLearning,synth009,softmax_inverse_temperature,19.85412779919184,100.0
QLearning,synth012,biasL,0.9221729847488848,0.5740057704388837
QLearning,synth012,choice_kernel_relative_weight,0.0465455241553317,0.1169925248658496
QLearning,synth012,forget_rate_unchosen,0.001179273878016,0.0139721258852729
QLearning,synth012,learn_rate,0.243250999860812,0.4741589364337653
QLearning,synth012,softmax_inverse_temperature,6.419693535296198,3.819803154724658
QLearning,synth015,biasL,0.5353993951460454,0.2559133519682744
QLearning,synth015,choice_kernel_relative_weight,0.1670115144443208,0.4351205407651108
QLearning,synth015,forget_rate_unchosen,0.2741936318797949,0.0219736507578828
QLearning,synth015,learn_rate,0.2443613175559003,0.4859812878943946
QLearning,synth015,softmax_inverse_temperature,11.814699501276728,4.457912889070763
QLearning,synth018,biasL,-0.6534413492573217,-0.3053711677957819
QLearning,synth018,choice_kernel_relative_weight,0.4516025443109911,0.042308635556195
QLearning,synth018,forget_rate_unchosen,0.0735818437173169,0.8756948246080828
QLearning,synth018,learn_rate,0.2408607552086757,0.0436761774715652
QLearning,synth018,softmax_inverse_temperature,3.0542530804851236,7.654964962026633
QLearning,synth021,biasL,-0.1820918024609668,-0.0590979422104413
QLearning,synth021,choice_kernel_relative_weight,0.4382479014709382,0.7622406893769756
QLearning,synth021,forget_rate_unchosen,0.1435838705082373,0.0070969765030157
QLearning,synth021,learn_rate,0.6894116481553358,0.8356023617292022
QLearning,synth021,softmax_inverse_temperature,7.828251787493581,4.212488798918695
QLearning,synth024,biasL,-1.1118865905055857,-0.4731051891218416
QLearning,synth024,choice_kernel_relative_weight,0.444871381362047,0.7089138646754467
QLearning,synth024,forget_rate_unchosen,0.3167963809359608,0.0048472736450828
QLearning,synth024,learn_rate,0.1655661090319769,0.2839856334814087
QLearning,synth024,softmax_inverse_temperature,12.970746891839298,5.609022238009743
QLearning,synth027,biasL,1.466494854072249,0.6757077477884627
QLearning,synth027,choice_kernel_relative_weight,0.2164348911436341,0.1531084184138641
QLearning,synth027,forget_rate_unchosen,0.2494843301433072,0.9093653953667749
QLearning,synth027,learn_rate,0.4371091129624747,0.1778366027498971
QLearning,synth027,softmax_inverse_temperature,4.181110132999285,4.248376247339601
QLearning,synth030,biasL,-0.9258317747344728,-0.4631052641308814
QLearning,synth030,choice_kernel_relative_weight,0.4782502533797175,0.8369894660366662
QLearning,synth030,forget_rate_unchosen,0.2816360768882431,0.0005811848369443
QLearning,synth030,learn_rate,0.6184760785435808,0.8811952427912676
QLearning,synth030,softmax_inverse_temperature,9.555359938196036,4.380685235463767
QLearning,synth033,biasL,-0.1344904343625715,0.0249101832811304
QLearning,synth033,choice_kernel_relative_weight,0.2486242818588563,0.4246030676538324
QLearning,synth033,forget_rate_unchosen,0.0103350910904402,0.0
QLearning,synth033,learn_rate,0.5062918134158966,0.7592534760072194
QLearning,synth033,softmax_inverse_temperature,9.000156477761973,6.264548672064664
QLearning,synth036,biasL,-0.5922276335933778,-0.5009357838711609
QLearning,synth036,choice_kernel_relative_weight,0.1108762719538636,0.2142253491477306
QLearning,synth036,forget_rate_unchosen,0.3815359494256194,0.2405383572230758
QLearning,synth036,learn_rate,0.8644317358704716,0.9457686718483588
QLearning,synth036,softmax_inverse_temperature,5.744364177051137,3.6324320487471455
QLearning,synth039,biasL,-0.5331501096940879,-0.1383625790398396
QLearning,synth039,choice_kernel_relative_weight,0.0194676657905363,0.0
QLearning,synth039,forget_rate_unchosen,0.0193673017871415,0.6554221218237796
QLearning,synth039,learn_rate,0.3361035773189102,0.175883211343887
QLearning,synth039,softmax_inverse_temperature,5.874982317641381,3.783187409044293
QLearning,synth042,biasL,1.3440726517261,0.4921932373313712
QLearning,synth042,choice_kernel_relative_weight,0.2004692607037952,0.0919269849683008
QLearning,synth042,forget_rate_unchosen,0.0759146599977846,0.989827441357799
QLearning,synth042,learn_rate,0.8028419413151384,0.1305421930063237
QLearning,synth042,softmax_inverse_temperature,1.4250146869686908,3.453576790310629
QLearning,synth045,biasL,0.2037152949490273,0.0377902055078937
QLearning,synth045,choice_kernel_relative_weight,0.139198566457799,0.3506334626518779
QLearning,synth045,forget_rate_unchosen,0.2084107490807092,0.085997834074865
QLearning,synth045,learn_rate,0.7834456349698607,0.6945929602457307
QLearning,synth045,softmax_inverse_temperature,3.308573936435341,1.999042521255056
QLearning,synth048,biasL,1.4539124590626498,0.7578522905734063
QLearning,synth048,choice_kernel_relative_weight,0.4229355616463854,0.4176664470140457
QLearning,synth048,forget_rate_unchosen,0.2557220223101825,0.0047688334772115
QLearning,synth048,learn_rate,0.8239947301949898,0.9588879399492474
QLearning,synth048,softmax_inverse_temperature,9.309397224309986,9.146381965851129
QLearning,synth051,biasL,0.6341166544540447,0.4241251065082008
QLearning,synth051,choice_kernel_relative_weight,0.1139653622275359,0.2194794934648776
QLearning,synth051,forget_rate_unchosen,0.3048462948137536,0.0164395504909738
QLearning,synth051,learn_rate,0.5251057585094683,0.8022794749511186
QLearning,synth051,softmax_inverse_temperature,13.114295587897152,7.363999803395839
QLearning,synth054,biasL,-0.9586054956334236,-0.5523815024119886
QLearning,synth054,choice_kernel_relative_weight,0.1703241806695772,0.0703967613384907
QLearning,synth054,forget_rate_unchosen,0.2762818193117088,1.0
QLearning,synth054,learn_rate,0.7968179092165233,0.1226194397517298
QLearning,synth054,softmax_inverse_temperature,5.1212522499790385,3.897191501973143
QLearning,synth057,biasL,-1.2621624929625108,-0.636606351159813
QLearning,synth057,choice_kernel_relative_weight,0.3361543176690711,0.5817354204966565
QLearning,synth057,forget_rate_unchosen,0.0494947571217426,0.0047987721243801
QLearning,synth057,learn_rate,0.4294045568163105,0.6308111477434972
QLearning,synth057,softmax_inverse_temperature,8.072650756810564,4.785083971090315
QLearning,synth060,biasL,-0.90458270013613,-0.1821808208559147
QLearning,synth060,choice_kernel_relative_weight,0.4635424723788065,0.5376744007561567
QLearning,synth060,forget_rate_unchosen,0.0857403484707051,0.0001163604796497
QLearning,synth060,learn_rate,0.8543466493494178,0.8942868284702173
QLearning,synth060,softmax_inverse_temperature,10.773431166713602,8.333406353153727
QLearning,synth063,biasL,-1.3797348323774792,-0.6713458089804475
QLearning,synth063,choice_kernel_relative_weight,0.3680548872572159,0.5172827240861287
QLearning,synth063,forget_rate_unchosen,0.0197380570168674,0.0059881803223349
QLearning,synth063,learn_rate,0.0555505575880828,0.3004792285101242
QLearning,synth063,softmax_inverse_temperature,8.857030102396314,5.258707432541248
QLearning,synth066,biasL,0.9932004603581254,0.3334942785095723
QLearning,synth066,choice_kernel_relative_weight,0.4557202209081316,0.1036795382203122
QLearning,synth066,forget_rate_unchosen,0.0543870699510313,1.0
QLearning,synth066,learn_rate,0.8379034301969419,0.0284921586081412
QLearning,synth066,softmax_inverse_temperature,2.9273684733855023,7.788574301467873
QLearning,synth069,biasL,0.3195059398887032,0.2045315214930709
QLearning,synth069,choice_kernel_relative_weight,0.0023402802538413,0.0342587658394552
QLearning,synth069,forget_rate_unchosen,0.1566988110876451,0.0421725455640663
QLearning,synth069,learn_rate,0.5853644673382412,0.8282921489449576
QLearning,synth069,softmax_inverse_temperature,15.143206128921662,8.68248295811475
QLearning,synth072,biasL,-0.7435282649434498,-0.5149997129659674
QLearning,synth072,choice_kernel_relative_weight,0.362076256686086,0.5779957956029436
QLearning,synth072,forget_rate_unchosen,0.1544227306139793,0.0117851945002947
QLearning,synth072,learn_rate,0.2438175251182992,0.3475207543317113
QLearning,synth072,softmax_inverse_temperature,5.074806506320956,4.041873875595188
QLearning,synth075,biasL,0.5383656383350999,0.5150598218643963
QLearning,synth075,choice_kernel_relative_weight,0.3622024242187185,0.6325577615944294
QLearning,synth075,forget_rate_unchosen,0.2411450370643455,0.0163945784951272
QLearning,synth075,learn_rate,0.4323570641147565,0.4768824822005514
QLearning,synth075,softmax_inverse_temperature,6.117158807424017,3.3856297666121495
QLearning,synth078,biasL,-0.3205930139367763,-0.0411951880655219
QLearning,synth078,choice_kernel_relative_weight,0.4359103920463862,0.6543904154291663
QLearning,synth078,forget_rate_unchosen,0.0554473639689431,0.0
QLearning,synth078,learn_rate,0.4385941330450347,0.386289504280881
QLearning,synth078,softmax_inverse_temperature,8.402886353857786,5.0078875551141895
QLearning,synth081,biasL,-1.0785383709466043,-0.5373502847051215
QLearning,synth081,choice_kernel_relative_weight,0.0498685463983837,0.1367378781054828
QLearning,synth081,forget_rate_unchosen,0.054046558669851,0.0242712613302296
QLearning,synth081,learn_rate,0.4446388999626058,0.642842470398415
