true_family,subject_id,param,true_initial,gru_pred_static
QLearning,synth000,biasL,0.8585025716686541,0.5639933477561168
QLearning,synth000,choice_kernel_relative_weight,0.2194392198760261,0.2163808306573759
QLearning,synth000,forget_rate_unchosen,0.343439167964553,0.1638707043239646
QLearning,synth000,learn_rate,0.6918033392514339,0.8864848239435168
QLearning,synth000,softmax_inverse_temperature,2.346011450511339,6.024791009902524
QLearning,synth003,biasL,1.0435878148124234,0.4227796197325721
QLearning,synth003,choice_kernel_relative_weight,0.331258808530291,0.3357985834860237
QLearning,synth003,forget_rate_unchosen,0.2450117460181208,0.1987083166285344
QLearning,synth003,learn_rate,0.818737188992684,0.9035202415379991
QLearning,synth003,softmax_inverse_temperature,11.768174000492449,9.918975690280172
QLearning,synth006,biasL,0.3096307458745087,0.3187957222432218
QLearning,synth006,choice_kernel_relative_weight,0.1397001150140358,0.1151801642138822
QLearning,synth006,forget_rate_unchosen,0.0132840986484768,0.192443314488851
QLearning,synth006,learn_rate,0.7808731918079431,0.9825245892997072
QLearning,synth006,softmax_inverse_temperature,3.984018524938871,4.714950207794612
QLearning,synth009,biasL,-0.9343552279518184,-0.603952304596151
QLearning,synth009,choice_kernel_relative_weight,0.4802147255248253,0.5571087258122764
QLearning,synth009,forget_rate_unchosen,0.3733493558791571,0.2263453077045703
QLearning,synth009,learn_rate,0.2980898798294975,0.911001308801576
QLearning,synth009,softmax_inverse_temperature,19.85412779919184,19.57069883658395
QLearning,synth012,biasL,0.9221729847488848,0.1655434684570815
QLearning,synth012,choice_kernel_relative_weight,0.0465455241553317,0.1162375709268286
QLearning,synth012,forget_rate_unchosen,0.001179273878016,0.1704140010800619
QLearning,synth012,learn_rate,0.243250999860812,0.6774999768648012
QLearning,synth012,softmax_inverse_temperature,6.419693535296198,2.709930240819733
QLearning,synth015,biasL,0.5353993951460454,0.3166562437097671
QLearning,synth015,choice_kernel_relative_weight,0.1670115144443208,0.2363400995623827
QLearning,synth015,forget_rate_unchosen,0.2741936318797949,0.1602954956756764
QLearning,synth015,learn_rate,0.2443613175559003,0.5539036799844317
QLearning,synth015,softmax_inverse_temperature,11.814699501276728,9.29452319018279
QLearning,synth018,biasL,-0.6534413492573217,-0.6746921993599257
QLearning,synth018,choice_kernel_relative_weight,0.4516025443109911,0.3569083240820359
QLearning,synth018,forget_rate_unchosen,0.0735818437173169,0.2036681555868021
