D,n,heldout_mean,heldout_sem,gru,gap,open_update_net_latent,open_latent,open_update_net_obs,open_update_net_subj,open_choice_net_latent,open_choice_net_subj
10,3,0.710069994131724,0.00257675981817007,0.7219,-0.011830005868275983,0.16083888212839764,1.2959805130958557,1.8547621568044028,0.8504079778989156,0.9620023568471272,0.0017574429512023926
30,3,0.7147476474444071,0.0008806224040273668,0.725,-0.01025235255559287,0.4811072150866191,1.9413288434346516,2.106409470240275,0.984281599521637,0.9615683356920878,0.0007277131080627441
100,3,0.7174146175384521,0.0007482435578376348,0.7262,-0.008785382461547808,0.7743935187657675,2.560260931650798,2.1322403748830157,0.7796764373779297,1.2095064719518027,0.0012545784314473471
300,3,0.7164657314618429,0.0007557625468727894,0.7267,-0.01023426853815712,0.9219421744346619,2.552943547566732,2.1129021644592285,0.6403245131174723,0.9597700834274292,0.0006308952967325846
614,3,0.7154408693313599,0.00014669743681445315,0.7268,-0.011359130668640138,0.6923823555310568,2.2502601941426597,2.126528183619181,0.7083151539166769,0.9623465339342753,0.0014301339785257976
