group,variant,run_id,state,D,seed,beta,mult,subject_embedding_size,subject_penalty,heldout_ll,eval_ll,open_update_net_latent,open_update_net_obs,open_update_net_subj,open_latent,open_choice_net_latent,open_choice_net_subj
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-7685bda2,finished,10,0,0.001,2,4,0.001,0.7097358703613281,0.7265804409980774,0.010325729846954346,1.6333250999450684,0.8679936528205872,0.974297821521759,0.9608064889907836,0.001310110092163086
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-7ccf06ae,finished,10,1,0.001,2,4,0.001,0.7146907448768616,0.7548375725746155,0.4659374356269837,2.181314706802368,0.8054661750793457,1.9393852949142456,0.9636266827583312,0.000953078269958496
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-f9b60c2b,finished,10,2,0.001,2,4,0.001,0.7057833671569824,0.7206812500953674,0.006253480911254883,1.7496466636657717,0.877764105796814,0.9742584228515624,0.9615738987922668,0.0030091404914855957
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-32d64878,finished,29,0,0.001,2,4,0.001,0.7136849164962769,0.7335507869720459,0.4420468807220459,2.0282576084136963,0.9882888197898864,1.9349875450134275,0.9601037502288818,0.0009229779243469238
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-19c9a4cc,finished,30,1,0.001,2,4,0.001,0.7140626907348633,0.7368607521057129,0.49484944343566895,2.189894676208496,0.9445748329162598,1.945061206817627,0.9616748690605164,0
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-501c1011,finished,30,2,0.001,2,4,0.001,0.7164953351020813,0.7311287522315979,0.5064253211021423,2.101076126098633,1.0199811458587646,1.9439377784729004,0.9629263877868652,0.0012601613998413086
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-3b91fb89,finished,99,0,0.001,2,4,0.001,0.7172031402587891,0.7215352654457092,1.1524959802627563,2.1863045692443848,0.4877930879592895,2.8616273403167725,0.95994770526886,0.0015088915824890137
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-5bec9655,finished,101,1,0.001,2,4,0.001,0.7162373661994934,0.7119850516319275,0.7044575810432434,2.147816896438598,0.48136067390441895,2.8751156330108643,1.707891821861267,0.0019081830978393557
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-49aa66fe,finished,101,2,0.001,2,4,0.001,0.718803346157074,0.7289455533027649,0.4662269949913025,2.0625996589660645,1.3698755502700806,1.944039821624756,0.9606798887252808,0.0003466606140136719
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-1d4292b8,finished,300,0,0.001,2,4,0.001,0.7151282429695129,0.7240575551986694,1.1599276065826416,2.1315879821777344,0.500160276889801,2.8593106269836426,0.95994371175766,0.0004246234893798828
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-db8d7526,finished,300,2,0.001,2,4,0.001,0.7165246605873108,0.72142094373703,0.4594154953956604,2.1589794158935547,0.8584663271903992,1.9382574558258057,0.9602592587471008,0.0007077455520629883
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-7c46c033,finished,301,1,0.001,2,4,0.001,0.7177442908287048,0.7258231043815613,1.1464834213256836,2.0481390953063965,0.5623469352722168,2.861262559890747,0.9591072797775269,0.0007603168487548828
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-2ddcbf2f,finished,614,0,0.001,2,4,0.001,0.715731680393219,0.7242266535758972,1.1356840133666992,2.11142897605896,0.48121780157089233,2.8629212379455566,0.9605900049209596,0.001308739185333252
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-ca0cc423,finished,614,1,0.001,2,4,0.001,0.7152618169784546,0.7244464159011841,0.46696531772613525,2.1555540561676025,0.8151490092277527,1.9446024894714355,0.9635195136070251,0.002291083335876465
dscan-mult2@20260713-003428,dscan-mult2,dscan-mult2-20260713-003428-9c78729c,finished,614,2,0.001,2,4,0.001,0.715329110622406,0.7242611646652222,0.4744977355003357,2.1126015186309814,0.8285786509513855,1.9432568550109863,0.9629300832748412,0.0006905794143676758
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-41c298cd,finished,614,42,0.0003,1,4,0.0003,0.7211172580718994,0.728093147277832,3.781372308731079,3.2079904079437256,1.97703218460083,3.620695590972901,0.981981098651886,0.0013234615325927734
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-b5073688,finished,614,42,0.001,1,4,0.001,0.717940628528595,0.7241085171699524,1.4061352014541626,2.1572155952453613,0.5029196739196777,2.870847702026367,0.9610664248466492,0.000996112823486328
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-caa61bf6,finished,614,42,0.003,1,4,0.003,0.7084737420082092,0.7129128575325012,0.002144932746887207,1.491028070449829,0.00242006778717041,0.9289437532424928,0.9274933338165284,0.000780940055847168
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-018f7379,finished,614,42,0.001,2,4,0.001,0.7162696123123169,0.7237608432769775,1.1336770057678225,2.141439437866211,0.47676223516464233,2.8610024452209473,0.9611459374427797,0.0006064176559448242
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-17e4a937,finished,614,42,0.0003,2,4,0.0003,0.7181090116500854,0.7269835472106934,3.089639902114868,3.983868360519409,2.74105167388916,4.730247497558594,1.9166171550750732,0.0012999773025512695
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-3e21ad6e,finished,614,42,0.003,2,4,0.003,0.715049684047699,0.7191158533096313,0.0037723183631896977,1.481217861175537,0.5899404883384705,0.945220947265625,0.9305752515792848,0.0005983710289001465
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-5d6e7862,finished,614,42,0.001,5,4,0.001,0.7174752950668335,0.7238965034484863,0.00164717435836792,2.137061595916748,0.8424133658409119,1.9428770542144775,1.6739833354949951,0.0004846453666687012
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-7767004a,finished,614,42,0.003,5,4,0.003,0.7087913751602173,0.7132417559623718,0.0004999637603759766,1.483770489692688,0.0009515881538391112,0.9266776442527772,0.9275786876678468,0
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-8e08a7d7,finished,614,42,0.0003,5,4,0.0003,0.7172631621360779,0.7261024713516235,0.01137387752532959,2.619046688079834,2.4872639179229736,1.975150465965271,1.8258001804351809,0.004610657691955566
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-2e2c8867,finished,614,42,0.003,10,4,0.003,0.7085453271865845,0.7129424810409546,0.0002894401550292969,1.486388087272644,0.002863585948944092,0.9284545183181764,0.9253396391868592,0.00015467405319213867
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-c7eb4fea,finished,614,42,0.0003,10,4,0.0003,0.7177292108535767,0.7263181805610657,0.004436850547790527,2.611267566680908,2.5075693130493164,1.9748051166534424,1.830923080444336,0.005844712257385254
mult-beta-d614@20260713-003501,mult-beta-d614,mult-beta-d614-20260713-003501-423dd9ba,finished,614,42,0.001,10,4,0.001,0.7159780263900757,0.7240408062934875,0.0015667080879211426,2.125321388244629,0.8360446095466614,1.9385688304901123,1.6683261394500732,0.0012641549110412598
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-2f54eb05,finished,99,0,0.001,2,16,0.001,0.7204139828681946,0.7221754193305969,0.4456440806388855,2.106689929962158,0.9209663271903992,1.9404411315917969,0.9607824087142944,0.006871640682220459
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-3d61d8f4,finished,99,0,0.001,2,4,0.0001,0.7116913199424744,0.7206886410713196,0.01121300458908081,1.6242777109146118,3.4944281578063965,0.9763350486755372,0.9646172523498536,0.015488624572753906
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-4b3ca6b1,finished,99,0,0.001,2,16,0,0.7175747156143188,0.7216353416442871,0.008598804473876953,1.7121071815490725,79.96965789794922,0.97733473777771,0.9644587635993958,15.940611839294434
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-69c97e89,finished,99,0,0.001,2,4,0.001,0.7179292440414429,0.7212232947349548,1.1428930759429932,2.168614387512207,0.48598259687423706,2.8622257709503174,0.9609894156455994,0.0014394521713256836
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-821588d0,finished,99,0,0.001,2,4,0,0.714144229888916,0.7208034992218018,0.027093470096588135,1.6395137310028076,19.988750457763672,0.972906231880188,0.9580242037773132,3.994647741317749
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-2b2d7f11,finished,99,0,0.001,2,16,0.0001,0.715413510799408,0.7214395999908447,0.008397459983825684,1.6315997838974,4.363614559173584,0.9780740141868592,0.9642989039421082,0.029314041137695312
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-f004267f,finished,99,0,0.001,2,64,0.001,0.7201074361801147,0.7214192152023315,0.44692492485046387,2.1166486740112305,0.9614840149879456,1.940999746322632,0.9611648321151732,0.014522194862365724
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-37f82ee6,finished,99,0,0.001,2,64,0.0001,0.7189207673072815,0.7223197817802429,0.0026260018348693848,1.634666085243225,4.811239242553711,0.9768553376197816,0.9637707471847534,0.1552523970603943
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-416de8c9,finished,99,0,0.001,2,64,0,0.7194194197654724,0.7223778367042542,0.005201876163482666,1.6674327850341797,319.8760070800781,0.972580909729004,0.9613195657730104,63.820892333984375
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-0d545869,finished,101,1,0.001,2,4,0,0.7176656126976013,0.7148656845092773,0.3477936387062073,2.1044437885284424,19.9638729095459,1.924056053161621,0.961368978023529,3.9962897300720215
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-48df39c3,finished,101,1,0.001,2,4,0.001,0.7170721292495728,0.7129870057106018,0.5101290345191956,2.16553258895874,0.8360418081283569,1.9404733180999756,0.9599180817604064,0.0001335740089416504
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-4e621137,finished,101,1,0.001,2,4,0.0001,0.7146919369697571,0.7150080800056458,0.33945488929748535,2.0892043113708496,3.6928093433380127,1.92234206199646,0.9630571007728576,0.012756288051605225
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-718f9dab,finished,101,1,0.001,2,16,0.0001,0.7178292870521545,0.7131178975105286,0.005454957485198975,1.630995512008667,4.521677017211914,0.980295479297638,0.9645735621452332,0.055071473121643066
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-fedc7aa4,finished,101,1,0.001,2,16,0.001,0.7193262577056885,0.7135752439498901,0.4936920404434204,2.1749110221862793,0.8518400192260742,1.93772554397583,0.9587191939353944,0.005877554416656494
subject-capacity@20260713-225831,subject-capacity,subject-capacity-20260713-225831-734a5c48,finished,101,1,0.001,2,16,0,0.7182660102844238,0.7117577195167542,0.010226964950561523,1.6700422763824463,79.9834976196289,0.9759013056755066,0.9624642133712769,15.94970989227295
